periodo_tempo;temperatura_max;temperatura_min
01/01/10;28,6;19,6
02/01/10;26,0;19,2
03/01/10;27,5;18,9
04/01/10;28,0;18,8
05/01/10;27,2;18,8
06/01/10;27,3;18,7
07/01/10;27,0;19,0
08/01/10;27,0;19,8
09/01/10;27,1;19,0
10/01/10;26,7;19,4
11/01/10;27,8;18,8
12/01/10;25,2;18,7
13/01/10;28,1;18,8
14/01/10;27,8;18,8
15/01/10;29,0;18,1
16/01/10;25,6;18,6
17/01/10;27,0;18,6
18/01/10;27,2;18,5
19/01/10;26,1;18,7
20/01/10;28,6;18,2
21/01/10;26,6;19,1
22/01/10;30,1;19,1
23/01/10;26,8;19,0
24/01/10;28,2;19,4
25/01/10;28,0;19,3
26/01/10;28,4;19,7
27/01/10;28,3;19,6
28/01/10;28,5;19,5
29/01/10;29,3;19,1
30/01/10;30,1;20,0
31/01/10;29,5;19,5
01/02/10;30,1;20,5
02/02/10;26,7;19,9
03/02/10;28,7;20,1
04/02/10;28,0;20,0
05/02/10;27,9;19,6
06/02/10;27,5;19,5
07/02/10;26,5;19,1
08/02/10;26,0;18,2
09/02/10;27,5;17,8
10/02/10;27,5;16,9
11/02/10;29,1;18,2
12/02/10;27,2;19,2
13/02/10;28,0;18,3
14/02/10;28,5;17,9
15/02/10;26,6;19,4
16/02/10;28,2;18,8
17/02/10;29,0;17,8
18/02/10;29,2;18,5
19/02/10;26,5;19,0
20/02/10;23,9;18,3
21/02/10;29,2;19,0
22/02/10;30,5;17,6
23/02/10;29,0;19,3
24/02/10;28,6;20,0
25/02/10;28,9;20,0
26/02/10;29,1;19,9
27/02/10;28,9;20,2
28/02/10;27,8;19,3
01/03/10;30,5;18,3
02/03/10;28,7;20,2
03/03/10;27,9;18,1
04/03/10;27,5;18,4
05/03/10;27,0;18,2
06/03/10;28,0;17,2
07/03/10;26,8;19,0
08/03/10;27,0;18,2
09/03/10;28,7;16,9
10/03/10;27,8;18,4
11/03/10;29,0;18,5
12/03/10;29,7;18,9
13/03/10;28,9;19,5
14/03/10;29,6;19,8
15/03/10;29,7;20,5
16/03/10;29,0;20,5
17/03/10;28,6;21,0
18/03/10;28,7;20,0
19/03/10;28,6;21,4
20/03/10;28,2;20,6
21/03/10;28,9;20,5
22/03/10;30,6;20,3
23/03/10;27,9;20,9
24/03/10;28,4;20,8
25/03/10;29,0;20,6
26/03/10;29,5;19,9
27/03/10;26,9;20,4
28/03/10;28,5;19,3
29/03/10;27,5;19,8
30/03/10;29,5;20,1
31/03/10;27,9;19,1
01/04/10;28,2;19,9
02/04/10;27,9;19,5
03/04/10;27,6;19,7
04/04/10;27,7;20,0
05/04/10;26,0;19,1
06/04/10;25,9;19,1
07/04/10;24,9;18,1
08/04/10;28,8;16,3
09/04/10;29,8;17,2
10/04/10;26,9;19,5
11/04/10;28,0;18,3
12/04/10;26,6;19,0
13/04/10;28,9;18,9
14/04/10;28,8;18,9
15/04/10;28,2;19,6
16/04/10;27,4;19,9
17/04/10;29,0;19,4
18/04/10;29,6;20,2
19/04/10;25,1;20,0
20/04/10;28,4;19,2
21/04/10;26,5;19,1
22/04/10;27,6;19,6
23/04/10;29,1;19,7
24/04/10;26,1;19,4
25/04/10;25,4;19,2
26/04/10;25,4;19,5
27/04/10;28,4;18,2
28/04/10;27,7;19,5
29/04/10;26,9;18,6
30/04/10;26,8;17,8
01/05/10;27,2;17,0
02/05/10;28,9;18,0
03/05/10;27,3;18,9
04/05/10;26,8;18,5
05/05/10;27,7;18,4
06/05/10;28,4;17,0
07/05/10;27,8;18,8
08/05/10;26,8;19,2
09/05/10;26,4;18,7
10/05/10;27,8;18,5
11/05/10;28,5;19,0
12/05/10;27,8;19,1
13/05/10;27,6;18,4
14/05/10;29,6;19,4
15/05/10;28,8;19,6
16/05/10;28,8;19,9
17/05/10;28,1;19,1
18/05/10;28,9;19,2
19/05/10;28,2;19,0
20/05/10;30,0;17,4
21/05/10;29,0;19,2
22/05/10;29,6;18,0
23/05/10;28,0;18,0
24/05/10;28,7;16,9
25/05/10;30,0;15,8
26/05/10;28,8;17,6
27/05/10;28,3;16,2
28/05/10;28,9;15,9
29/05/10;27,8;17,8
30/05/10;27,5;16,6
31/05/10;27,2;16,2
01/06/10;27,9;16,1
02/06/10;29,5;14,6
03/06/10;28,6;16,2
04/06/10;27,9;16,5
05/06/10;26,9;16,4
06/06/10;30,0;15,1
07/06/10;29,0;15,9
08/06/10;29,0;17,2
09/06/10;29,0;17,6
10/06/10;29,8;16,5
11/06/10;30,5;16,4
12/06/10;31,3;16,8
13/06/10;31,8;15,4
14/06/10;31,7;14,1
15/06/10;30,6;13,8
16/06/10;30,4;10,9
17/06/10;28,7;14,9
18/06/10;27,8;14,1
19/06/10;26,5;14,1
20/06/10;28,7;14,4
21/06/10;28,0;16,5
22/06/10;28,8;16,5
23/06/10;30,3;16,4
24/06/10;30,0;16,2
25/06/10;30,8;15,9
26/06/10;32,1;16,4
27/06/10;32,2;15,2
28/06/10;31,5;17,3
29/06/10;31,4;17,5
30/06/10;31,9;17,1
01/07/10;32,3;17,0
02/07/10;31,0;17,2
03/07/10;29,5;16,6
04/07/10;29,8;15,4
05/07/10;29,2;16,0
06/07/10;28,6;17,3
07/07/10;31,0;14,7
08/07/10;31,9;13,9
09/07/10;31,8;16,0
10/07/10;31,5;15,1
11/07/10;32,5;12,9
12/07/10;32,5;15,8
13/07/10;32,7;15,4
14/07/10;31,8;16,1
15/07/10;29,9;16,6
16/07/10;31,0;16,0
17/07/10;31,9;15,9
18/07/10;31,0;14,1
19/07/10;28,0;15,9
20/07/10;27,7;15,4
21/07/10;27,7;14,5
22/07/10;27,4;14,7
23/07/10;29,1;14,4
24/07/10;32,2;14,0
25/07/10;28,8;16,0
26/07/10;27,6;15,9
27/07/10;28,1;15,9
28/07/10;27,7;15,8
29/07/10;28,4;15,7
30/07/10;26,8;15,9
31/07/10;27,8;15,4
01/08/10;28,8;15,1
02/08/10;30,1;15,6
03/08/10;31,4;15,2
04/08/10;30,8;16,5
05/08/10;31,0;17,0
06/08/10;30,2;17,0
07/08/10;28,4;16,5
08/08/10;25,4;14,9
09/08/10;26,0;14,1
10/08/10;27,5;14,1
11/08/10;28,1;15,2
12/08/10;30,1;15,1
13/08/10;29,5;14,9
14/08/10;28,7;15,1
15/08/10;28,5;15,4
16/08/10;29,2;15,8
17/08/10;29,4;16,0
18/08/10;30,5;16,1
19/08/10;29,7;16,8
20/08/10;27,2;16,5
21/08/10;26,9;15,9
22/08/10;26,8;15,4
23/08/10;28,6;13,9
24/08/10;28,5;15,8
25/08/10;27,3;15,8
26/08/10;28,2;15,4
27/08/10;28,5;15,1
28/08/10;28,2;15,6
29/08/10;28,9;15,6
30/08/10;29,9;15,4
31/08/10;29,8;15,6
01/09/10;31,3;15,8
02/09/10;31,2;16,8
03/09/10;29,4;16,5
04/09/10;29,4;17,1
05/09/10;29,3;17,2
06/09/10;29,5;17,5
07/09/10;29,0;17,9
08/09/10;27,9;17,9
09/09/10;28,5;17,3
10/09/10;29,5;17,2
11/09/10;29,5;17,0
12/09/10;29,0;17,2
13/09/10;29,1;17,4
14/09/10;28,5;17,0
15/09/10;28,6;17,0
16/09/10;29,0;16,9
17/09/10;29,4;17,0
18/09/10;31,5;17,0
19/09/10;30,5;17,0
20/09/10;30,7;17,2
21/09/10;30,8;17,6
22/09/10;29,5;18,1
23/09/10;30,1;18,1
24/09/10;31,1;18,0
25/09/10;31,6;18,0
26/09/10;31,5;18,0
27/09/10;31,7;17,7
28/09/10;31,0;18,1
29/09/10;30,0;18,3
30/09/10;29,4;18,6
01/10/10;28,8;18,6
02/10/10;27,4;18,1
03/10/10;29,5;18,0
04/10/10;31,3;17,8
05/10/10;31,0;17,8
06/10/10;31,7;17,6
07/10/10;29,7;17,5
08/10/10;31,6;18,1
09/10/10;33,2;18,4
10/10/10;30,8;18,1
11/10/10;31,4;18,9
12/10/10;32,4;19,0
13/10/10;31,4;19,2
14/10/10;30,0;19,6
15/10/10;31,9;19,4
16/10/10;29,3;19,1
17/10/10;30,3;18,8
18/10/10;25,2;19,3
19/10/10;26,3;18,9
20/10/10;26,6;18,6
21/10/10;29,3;19,4
22/10/10;32,3;18,7
23/10/10;30,8;18,5
24/10/10;28,1;18,7
25/10/10;28,2;18,9
26/10/10;29,9;18,6
27/10/10;29,6;18,5
28/10/10;30,8;19,1
29/10/10;30,5;18,5
30/10/10;30,2;17,9
31/10/10;28,7;18,4
01/11/10;29,6;19,4
02/11/10;29,0;19,0
03/11/10;28,1;19,8
04/11/10;28,6;19,6
05/11/10;28,1;19,5
06/11/10;28,3;18,6
07/11/10;29,6;19,0
08/11/10;28,8;19,5
09/11/10;29,2;19,5
10/11/10;27,0;19,7
11/11/10;25,6;19,5
12/11/10;25,5;19,8
13/11/10;25,8;18,3
14/11/10;26,5;18,3
15/11/10;28,7;18,1
16/11/10;26,9;17,9
17/11/10;27,0;17,7
18/11/10;27,9;17,1
19/11/10;28,5;15,6
20/11/10;28,5;15,4
21/11/10;29,4;16,5
22/11/10;30,1;15,9
23/11/10;30,6;14,5
24/11/10;31,5;15,5
25/11/10;29,9;18,4
26/11/10;27,0;18,9
27/11/10;26,0;18,3
28/11/10;27,4;17,7
29/11/10;31,1;17,3
30/11/10;32,0;18,4
01/12/10;29,9;18,5
02/12/10;27,2;18,1
03/12/10;32,2;17,8
04/12/10;31,5;18,9
05/12/10;29,8;18,6
06/12/10;31,0;18,8
07/12/10;28,5;19,7
08/12/10;27,7;19,6
09/12/10;26,5;19,5
10/12/10;27,9;19,1
11/12/10;26,6;19,3
12/12/10;26,8;18,9
13/12/10;27,2;18,9
14/12/10;28,0;18,5
15/12/10;28,7;18,1
16/12/10;28,2;17,6
17/12/10;27,0;18,0
18/12/10;28,0;17,5
19/12/10;29,2;17,9
20/12/10;30,0;18,8
21/12/10;28,4;19,3
22/12/10;29,7;18,2
23/12/10;30,5;17,4
24/12/10;29,7;19,2
25/12/10;24,9;18,4
26/12/10;30,5;18,4
27/12/10;29,5;18,5
28/12/10;29,4;19,5
29/12/10;27,3;20,0
30/12/10;28,9;19,5
31/12/10;28,5;19,4
01/01/11;28,9;18,6
02/01/11;26,9;17,7
03/01/11;27,4;17,7
04/01/11;28,0;18,5
05/01/11;28,9;18,5
06/01/11;28,7;19,0
07/01/11;31,2;18,2
08/01/11;30,1;18,7
09/01/11;26,8;19,4
10/01/11;31,1;19,5
11/01/11;31,6;18,1
12/01/11;30,0;18,1
13/01/11;30,2;18,7
14/01/11;31,4;18,6
15/01/11;28,6;19,0
16/01/11;27,0;19,5
17/01/11;30,9;19,5
18/01/11;29,5;19,7
19/01/11;26,5;19,1
20/01/11;28,9;19,0
21/01/11;29,4;18,3
22/01/11;30,0;18,2
23/01/11;29,8;17,2
24/01/11;29,6;18,9
25/01/11;27,4;19,0
26/01/11;26,9;18,5
27/01/11;29,9;17,8
28/01/11;31,6;18,0
29/01/11;27,1;19,2
30/01/11;28,8;18,9
31/01/11;29,6;18,6
01/02/11;29,3;19,5
02/02/11;29,5;18,5
03/02/11;27,8;19,0
04/02/11;27,4;18,1
05/02/11;26,2;18,7
06/02/11;28,8;17,9
07/02/11;28,0;18,7
08/02/11;28,5;18,8
09/02/11;28,1;18,6
10/02/11;27,0;17,5
11/02/11;29,0;17,5
12/02/11;29,5;17,8
13/02/11;30,1;19,1
14/02/11;29,1;18,4
15/02/11;28,8;19,8
16/02/11;30,4;19,6
17/02/11;31,0;17,4
18/02/11;30,1;19,5
19/02/11;24,0;18,6
20/02/11;29,4;18,0
21/02/11;29,9;18,0
22/02/11;29,8;19,6
23/02/11;25,5;18,6
24/02/11;28,3;18,6
25/02/11;28,1;18,8
26/02/11;28,9;18,4
27/02/11;29,5;17,5
28/02/11;30,1;18,4
01/03/11;29,0;18,5
02/03/11;29,0;19,7
03/03/11;27,4;19,6
04/03/11;27,1;19,3
05/03/11;25,6;19,3
06/03/11;28,3;19,1
07/03/11;27,0;19,0
08/03/11;26,5;19,0
09/03/11;28,7;18,2
10/03/11;29,5;20,0
11/03/11;28,5;19,0
12/03/11;28,2;18,9
13/03/11;28,4;18,0
14/03/11;27,4;18,5
15/03/11;24,6;18,5
16/03/11;28,5;17,5
17/03/11;28,4;17,8
18/03/11;28,0;18,6
19/03/11;26,9;18,8
20/03/11;27,1;18,6
21/03/11;27,2;18,2
22/03/11;26,6;19,1
23/03/11;29,2;18,4
24/03/11;26,4;19,4
25/03/11;27,6;19,3
26/03/11;24,4;18,8
27/03/11;25,1;18,6
28/03/11;27,6;17,9
29/03/11;24,2;18,6
30/03/11;26,2;18,2
31/03/11;27,1;17,6
01/04/11;27,1;17,5
02/04/11;28,4;18,2
03/04/11;27,5;18,0
04/04/11;28,6;19,0
05/04/11;27,9;18,5
06/04/11;28,8;18,8
07/04/11;28,0;19,0
08/04/11;27,5;17,5
09/04/11;28,0;18,3
10/04/11;28,9;18,3
11/04/11;28,0;19,2
12/04/11;27,6;19,6
13/04/11;29,0;18,9
14/04/11;29,3;17,8
15/04/11;27,4;18,5
16/04/11;26,7;18,0
17/04/11;28,8;18,1
18/04/11;28,8;19,5
19/04/11;27,9;19,2
20/04/11;29,0;18,9
21/04/11;27,9;19,1
22/04/11;29,0;18,9
23/04/11;27,3;19,4
24/04/11;28,4;18,4
25/04/11;27,2;18,5
26/04/11;25,8;19,0
27/04/11;28,1;19,4
28/04/11;27,4;19,4
29/04/11;25,3;18,4
30/04/11;23,2;18,0
01/05/11;25,4;18,2
02/05/11;26,5;18,0
03/05/11;27,9;17,5
04/05/11;27,8;18,0
05/05/11;27,5;18,5
06/05/11;28,7;18,8
07/05/11;29,0;18,6
08/05/11;29,6;18,5
09/05/11;28,3;19,5
10/05/11;29,0;18,5
11/05/11;29,8;19,2
12/05/11;28,0;18,8
13/05/11;28,2;18,8
14/05/11;28,5;19,1
15/05/11;29,4;19,4
16/05/11;26,9;18,4
17/05/11;28,6;18,0
18/05/11;28,1;19,2
19/05/11;27,9;18,4
20/05/11;28,3;18,0
21/05/11;27,1;18,1
22/05/11;26,6;18,0
23/05/11;27,8;17,5
24/05/11;30,1;17,8
25/05/11;30,5;17,3
26/05/11;30,8;15,6
27/05/11;30,3;16,8
28/05/11;31,4;16,5
29/05/11;31,0;17,6
30/05/11;31,0;17,2
31/05/11;30,6;17,6
01/06/11;30,1;16,7
02/06/11;29,9;15,9
03/06/11;30,6;15,6
04/06/11;31,1;15,9
05/06/11;30,5;14,4
06/06/11;30,8;14,1
07/06/11;30,5;15,9
08/06/11;30,3;16,3
09/06/11;30,0;15,6
10/06/11;29,4;16,6
11/06/11;31,0;15,9
12/06/11;31,1;17,0
13/06/11;31,7;17,0
14/06/11;30,1;15,9
15/06/11;28,9;16,8
16/06/11;28,8;15,9
17/06/11;28,8;15,6
18/06/11;28,3;14,4
19/06/11;29,2;14,4
20/06/11;29,6;15,4
21/06/11;29,7;14,1
22/06/11;29,1;15,6
23/06/11;30,0;14,9
24/06/11;30,0;15,2
25/06/11;30,9;14,6
26/06/11;30,4;16,0
27/06/11;31,0;15,4
28/06/11;28,2;15,6
29/06/11;29,5;14,6
30/06/11;29,6;15,1
01/07/11;30,8;14,6
02/07/11;30,6;13,7
03/07/11;30,1;13,2
04/07/11;28,6;15,1
05/07/11;27,4;14,1
06/07/11;26,8;13,9
07/07/11;26,0;13,9
08/07/11;26,4;13,9
09/07/11;25,4;13,6
10/07/11;25,5;13,3
11/07/11;24,4;12,4
12/07/11;25,4;13,2
13/07/11;29,0;13,1
14/07/11;29,2;13,5
15/07/11;30,8;14,8
16/07/11;31,1;14,4
17/07/11;29,6;14,9
18/07/11;30,1;13,9
19/07/11;29,6;15,1
20/07/11;31,1;14,4
21/07/11;31,2;15,6
22/07/11;29,4;15,1
23/07/11;30,5;15,9
24/07/11;33,2;15,9
25/07/11;33,0;15,7
26/07/11;32,2;15,9
27/07/11;29,5;16,1
28/07/11;28,8;16,5
29/07/11;28,5;15,9
30/07/11;27,9;14,9
31/07/11;28,2;12,5
01/08/11;28,4;13,8
02/08/11;28,5;13,4
03/08/11;27,7;14,5
04/08/11;28,6;14,1
05/08/11;28,1;14,6
06/08/11;27,8;15,5
07/08/11;28,6;14,1
08/08/11;26,9;15,1
09/08/11;26,6;14,8
10/08/11;26,1;15,1
11/08/11;27,0;14,3
12/08/11;26,6;14,1
13/08/11;27,0;13,9
14/08/11;28,8;13,9
15/08/11;29,7;16,0
16/08/11;30,1;16,0
17/08/11;29,0;15,9
18/08/11;29,5;16,4
19/08/11;29,5;15,4
20/08/11;29,3;17,1
21/08/11;28,4;17,2
22/08/11;27,9;17,2
23/08/11;29,6;15,8
24/08/11;29,6;16,2
25/08/11;31,2;16,6
26/08/11;31,1;16,4
27/08/11;28,6;16,0
28/08/11;27,9;15,9
29/08/11;25,9;15,7
30/08/11;25,8;15,2
31/08/11;27,1;14,9
01/09/11;27,5;15,9
02/09/11;28,5;17,0
03/09/11;30,0;17,0
04/09/11;29,8;16,9
05/09/11;30,5;16,8
06/09/11;30,5;17,2
07/09/11;29,9;17,3
08/09/11;29,9;17,7
09/09/11;30,4;17,5
10/09/11;30,1;17,7
11/09/11;29,9;17,3
12/09/11;29,5;17,2
13/09/11;29,5;16,2
14/09/11;31,4;15,8
15/09/11;31,1;15,8
16/09/11;30,2;16,9
17/09/11;29,7;16,5
18/09/11;30,0;17,0
19/09/11;31,0;16,0
20/09/11;31,9;15,9
21/09/11;32,5;16,5
22/09/11;33,8;17,1
23/09/11;33,5;16,6
24/09/11;33,2;17,5
25/09/11;33,0;18,2
26/09/11;31,5;18,3
27/09/11;30,5;18,5
28/09/11;29,6;18,3
29/09/11;27,8;18,4
30/09/11;28,5;18,5
01/10/11;27,4;18,0
02/10/11;28,5;17,9
03/10/11;29,5;17,8
04/10/11;27,9;17,5
05/10/11;27,9;17,8
06/10/11;29,4;18,0
07/10/11;30,9;17,0
08/10/11;30,4;17,3
09/10/11;30,9;18,2
10/10/11;30,9;18,0
11/10/11;28,9;17,5
12/10/11;29,3;17,8
13/10/11;29,0;17,8
14/10/11;30,9;17,6
15/10/11;29,1;18,8
16/10/11;28,0;19,0
17/10/11;27,0;18,5
18/10/11;26,5;18,5
19/10/11;29,3;18,4
20/10/11;30,1;19,0
21/10/11;28,9;18,6
22/10/11;26,8;18,9
23/10/11;26,6;18,0
24/10/11;28,1;17,9
25/10/11;26,5;17,8
26/10/11;29,5;17,7
27/10/11;28,0;18,6
28/10/11;24,5;17,0
29/10/11;25,0;16,8
30/10/11;23,9;18,0
31/10/11;21,7;17,1
01/11/11;27,4;17,0
02/11/11;24,2;18,0
03/11/11;26,0;17,6
04/11/11;29,0;17,1
05/11/11;29,1;18,5
06/11/11;24,5;18,2
07/11/11;27,5;17,3
08/11/11;29,8;18,0
09/11/11;26,0;17,8
10/11/11;24,2;18,0
11/11/11;27,6;18,0
12/11/11;28,5;17,6
13/11/11;29,2;17,2
14/11/11;29,0;18,2
15/11/11;29,0;18,0
16/11/11;28,8;17,7
17/11/11;29,0;17,1
18/11/11;28,8;17,6
19/11/11;28,6;17,8
20/11/11;29,8;17,6
21/11/11;31,0;18,6
22/11/11;28,4;19,6
23/11/11;26,2;19,8
24/11/11;28,0;19,0
25/11/11;26,6;18,8
26/11/11;27,4;18,5
27/11/11;29,9;17,9
28/11/11;29,9;17,4
29/11/11;28,8;18,6
30/11/11;28,3;18,5
